time_seconds,raw,weight
7372.711,5757.0,23.7
7374.660,5853.0,23.9
7376.608,5748.0,23.6
7378.557,5724.0,23.7
7380.506,5852.0,23.5
7382.455,5665.0,23.4
7384.403,5737.0,23.6
7386.352,5745.0,23.3
7388.300,5629.0,23.6
7390.249,5722.0,23.9
7392.198,5708.0,23.6
7394.147,5708.0,23.5
7396.095,5771.0,24.0
7398.044,5731.0,23.5
7399.993,5803.0,23.7
7401.942,5783.0,23.7
7403.891,5755.0,23.7
7405.840,5751.0,23.5
7407.789,5851.0,23.5
7409.738,5706.0,23.6
7411.686,5692.0,23.7
7413.635,5853.0,23.6
7415.584,5723.0,23.5
7417.532,5715.0,23.7
7419.481,5802.0,23.5
7421.430,5693.0,23.5
7423.379,5707.0,23.9
7425.328,5701.0,23.5
7427.277,5681.0,23.6
7429.226,5775.0,23.9
7431.174,5745.0,23.5
7433.123,5730.0,23.5
7435.072,5810.0,23.8
7437.020,5721.0,23.5
7438.969,5707.0,23.6
7440.917,5845.0,23.6
7442.866,5792.0,23.7
7444.814,5772.0,23.5
7446.764,5816.0,23.6
7448.712,5703.0,23.7
7450.661,5734.0,23.9
7452.610,5716.0,23.4
7454.558,5724.0,23.6
7456.507,5766.0,24.0
7458.456,5696.0,23.6
7460.405,5730.0,23.5
7462.354,5740.0,23.8
7464.302,5731.0,23.6
7466.251,5722.0,23.6
7468.199,5835.0,23.4
7470.148,5743.0,23.5
7472.097,5717.0,23.4
7474.046,5819.0,23.6
7475.994,5740.0,23.4
7477.943,5728.0,23.7
7479.891,5855.0,23.5
7481.841,5769.0,23.7
7483.790,5749.0,23.8
7485.738,5733.0,23.8
7487.687,5752.0,23.7
7489.636,5786.0,24.1
7491.584,5793.0,23.5
7493.533,5763.0,23.7
7495.482,5816.0,23.9
7497.431,5753.0,23.6
7499.380,5761.0,23.6
7501.329,5844.0,23.6
7503.278,5752.0,23.5
7505.226,5744.0,23.7
7507.175,5806.0,23.6
7509.124,5755.0,23.6
7511.073,5729.0,23.8
7513.022,5786.0,23.7
7514.971,5793.0,23.6
7516.920,5778.0,24.0
7518.868,5760.0,23.5
7520.817,5727.0,23.7
7522.766,5726.0,23.8
7524.716,5752.0,23.7
7526.665,5690.0,23.5
7528.613,5732.0,23.8
7530.562,5729.0,23.6
7532.511,5666.0,23.5
7534.460,5763.0,23.7
7536.409,5723.0,23.5
7538.357,5663.0,23.4
7540.306,5818.0,23.5
7542.255,5699.0,23.4
7544.203,5647.0,23.7
7546.152,5724.0,23.5
7548.100,5628.0,23.7
7550.049,5751.0,24.2
7551.998,5751.0,23.6
7553.947,5742.0,23.6
7555.896,5789.0,24.0
7557.844,5762.0,23.7
7559.793,5731.0,23.8
7561.742,5776.0,23.4
7563.689,5643.0,23.5
7565.637,5738.0,23.5
7567.587,5820.0,23.5
7569.535,5753.0,23.5
7571.483,5747.0,23.9
7573.433,5811.0,23.6
7575.381,5705.0,23.6
7577.330,5744.0,23.8
7579.279,5709.0,23.6
7581.228,5739.0,23.6
7583.176,5694.0,24.0
7585.125,5649.0,23.4
7587.074,5665.0,23.5
7589.023,5693.0,23.8
7590.972,5679.0,23.5
7592.920,5678.0,23.3
7594.869,5764.0,23.6
7596.817,5687.0,23.6
7598.766,5629.0,23.6
7600.714,5801.0,23.4
7602.663,5666.0,23.5
7604.611,5628.0,23.5
7606.560,5672.0,23.6
7608.509,5646.0,23.4
7610.458,5704.0,24.0
7612.407,5684.0,23.4
7614.355,5669.0,23.6
7616.303,5605.0,23.8
7618.252,5624.0,23.5
7620.201,5671.0,23.5
7622.149,5711.0,23.6
7624.098,5666.0,23.4
7626.047,5646.0,23.5
7627.996,5759.0,23.4
7629.944,5674.0,23.4
7631.893,5698.0,23.4
7633.842,5786.0,23.4
7635.790,5685.0,23.5
7637.739,5728.0,23.6
7639.688,5728.0,23.4
7641.637,5717.0,23.7
7643.586,5717.0,24.0
7645.534,5726.0,23.5
7647.483,5733.0,23.3
7649.432,5701.0,23.9
7651.381,5730.0,23.6
7653.330,5745.0,23.7
7655.280,5825.0,23.8
7657.229,5723.0,23.6
7659.178,5709.0,23.6
7661.127,5803.0,23.5
7663.076,5712.0,23.4
7665.025,5703.0,23.6
7666.974,5802.0,23.5
7668.923,5715.0,23.6
7670.872,5709.0,23.7
7672.821,5702.0,23.5
7674.769,5661.0,23.5
